,No.,Object name,Material,Stained,Surface properties
961,962,chorizo ,000000010010000000000000000000,100,01100000000
962,963,rempejek ,000000010000000000000000000000,100,00100000000
963,964,tagliatelle ,000000010000000000000000000000,100,00100000000
964,965,coffee cream ,010000000110000000000000000000,100,01100000000
965,966,verkade bisquits ,000000010000000000000000000000,100,00100000000
966,967,bugles chips ,000000010000000000000000000000,100,00100000000
967,968,mihoen ,000000010000000000000000000000,100,00100000000
968,969,fristi drink ,000000010010000000000000000000,100,00100000000
969,970,hak vegetable jar ,010000000110000000000000000000,100,01100000000
970,971,round shell ,000000100000000000000000000000,100,10000000000
971,972,3 towels ,100000000000000000000000000000,100,00000001000
972,973,yellow/blue towel ,100000000000000000000000000000,100,00000001000
973,974,blue/red towel ,100000000000000000000000000000,100,00000001000
974,975,yellow/red towel ,100000000000000000000000000000,100,00000001000
975,976,yellow towel ,100000000000000000000000000000,100,00000001000
976,977,blue towel ,100000000000000000000000000000,100,00000001000
977,978,red towel ,100000000000000000000000000000,100,00000001000
978,979,head ,000000000000000000000000010000,100,10000000000
979,980,yellow thing ,000000010000000000000000000000,100,00100000001
980,981,big metal pot ,010000000000000000000000000000,001,00100000000
981,982,small metal pot ,010000000000000000000000000000,001,00100000000
982,983,christmas balls ,100000010000000000000000000000,001,01100000000
983,984,pot with stones ,000000000100000000000000000000,100,00100000000
984,985,pot with shells ,000000000100000000000000000000,100,00100000000
985,986,grolsch beer ,010000000110000000000000000000,100,01100000000
986,987,small doll ,100000010000000000000000000000,100,01000000000
987,988,sheep ,100000000000000000000000000000,001,10000000000
988,989,indy box ,000000000010000000000000000000,100,10000000000
989,990,carton box ,000000000010000000000000000000,100,10000000000
990,991,blue washing box ,000000010000000000000000000000,001,00100000000
991,992,emma eend book ,000000010000000000000000000000,100,00100000000
992,993,yellow toy box ,000000010000000000000000000000,001,00100000000
993,994,bambix ,000000000010000000000000000000,100,10000000000
994,995,pescado bottle ,000000000100000000000000000000,100,00100000000
995,996,lotion ,000000010010000000000000000000,100,01100000000
996,997,cleansing milk ,000000010010000000000000000000,100,01100000000
997,998,vogue deodorant ,010000010000000000000000000000,100,01100000000
998,999,ALOI recording ,010000010000000000000000000000,001,01100000000
999,1000,strawberry cake ,000000000000000000000010000000,100,10000000000
